date,hour,massif,region,massif_unique,altitude,inclination,orientation,size_of_group,transported,with head buried in snow,dead,injured,unharmed,activite_regrouped,only_hour,year,month
2013-04-07,11:45,belledonne,alps,Belledone,2600,40-44,E,50,3,0,0,0,3,hiking,11,2013,4
2014-01-25,13:45,belledonne,alps,Belledone,2330,35-39,SO,2,2,1,1,0,1,hiking,13,2014,1
2014-01-27,12:40,belledonne,alps,Belledone,2170,30-34,SE,4,1,1,0,1,0,"off-piste (ski, snowboard)",12,2014,1
2014-01-31,15:50,belledonne,alps,Belledone,2165,30-34,O,2,1,1,1,0,0,hiking,15,2014,1
2014-03-06,13:45,belledonne,alps,Belledone,0,,,3,1,0,0,0,0,hiking,13,2014,3
2014-03-13,17:00,belledonne,alps,Belledone,0,,O,1,1,0,0,0,1,hiking,17,2014,3
2015-03-05,13:00,belledonne,alps,Belledone,2500,30-34,NE,2,1,1,1,0,0,hiking,13,2015,3
2016-03-05,12:00,belledonne,alps,Belledone,0,,,2,2,0,0,0,0,"off-piste (ski, snowboard)",12,2016,3
2016-03-07,11:45,belledonne,alps,Belledone,0,,,1,1,1,0,1,0,"off-piste (ski, snowboard)",11,2016,3
2016-04-24,11:00,belledonne,alps,Belledone,2300,30-34,SE,9,5,3,2,1,1,hiking,11,2016,4
2017-12-28,13:45,belledonne,alps,Belledone,2120,35-39,SO,2,1,0,0,0,0,hiking,13,2017,12
2018-01-17,,belledonne,alps,Belledone,2000,35-39,NO,1,1,1,1,0,0,hiking,0,2018,1
2018-02-24,09:30,belledonne,alps,Belledone,2035,35-39,N,2,1,0,0,0,1,hiking,9,2018,2
2018-03-04,10:45,belledonne,alps,Belledone,2000,40-44,NO,2,2,1,1,0,1,hiking,10,2018,3
2019-04-20,,belledonne,alps,Belledone,0,,,1,1,0,0,0,1,"cross-country (ski, snowboard etc.)",0,2019,4
2012-02-18,,haute bigorre,pyrenees,hte-bigo,0,,,1,1,1,1,0,0,"off-piste (ski, snowboard)",0,2012,2
2012-02-18,,haute bigorre,pyrenees,hte-bigo,0,,,1,1,0,0,0,1,"off-piste (ski, snowboard)",0,2012,2
2012-02-18,,luchonnais,pyrenees,luchonnais,2030,30-34,NO,5,5,0,0,0,0,hiking,0,2012,2
2012-02-19,,haute bigorre,pyrenees,hte-bigo,0,,,2,1,0,0,0,1,"off-piste (ski, snowboard)",0,2012,2
2019-11-14,,belledonne,alps,Belledone,0,,,1,1,1,0,1,0,other,0,2019,11
2020-01-02,,belledonne,alps,Belledone,0,,,2,2,0,2,0,0,"cross-country (ski, snowboard etc.)",0,2020,1
2020-01-18,,belledonne,alps,Belledone,0,,,1,1,1,0,1,0,"off-piste (ski, snowboard)",0,2020,1
2014-01-26,,dévoluy,alps,Devoluy,0,,,2,1,0,0,0,0,hiking,0,2014,1
2017-02-04,,dévoluy,alps,Devoluy,2300,,NO,10,3,2,2,0,1,"off-piste (ski, snowboard)",0,2017,2
2010-12-26,15:15,grandes rousses,alps,Gdes-rouss,3200,,O,2,1,0,0,1,0,"off-piste (ski, snowboard)",15,2010,12
2012-02-17,14:05,grandes rousses,alps,Gdes-rouss,2050,35-39,SE,4,1,1,1,0,0,hiking,14,2012,2
2012-04-05,15:30,luchonnais,pyrenees,luchonnais,0,,NE,2,2,2,2,0,0,hiking,15,2012,4
2012-04-20,15:45,grandes rousses,alps,Gdes-rouss,2600,40-44,O,2,1,1,0,1,0,"off-piste (ski, snowboard)",15,2012,4
2013-01-20,13:50,grandes rousses,alps,Gdes-rouss,1790,35-39,SO,6,3,3,3,0,0,"off-piste (ski, snowboard)",13,2013,1
2013-04-17,,grandes rousses,alps,Gdes-rouss,0,35-39,S,2,2,1,1,0,1,other,0,2013,4
2014-01-26,14:40,grandes rousses,alps,Gdes-rouss,2000,30-34,S,2,2,2,2,0,0,"off-piste (ski, snowboard)",14,2014,1
2015-02-07,15:00,grandes rousses,alps,Gdes-rouss,1970,35-39,O,1,1,0,0,0,0,hiking,15,2015,2
2017-12-09,09:30,grandes rousses,alps,Gdes-rouss,0,,,2,2,0,0,0,1,other,9,2017,12
2018-03-04,13:50,grandes rousses,alps,Gdes-rouss,0,,,1,1,0,0,0,1,hiking,13,2018,3
2018-03-04,11:55,grandes rousses,alps,Gdes-rouss,0,,,1,1,0,0,0,0,"off-piste (ski, snowboard)",11,2018,3
2018-03-04,14:35,grandes rousses,alps,Gdes-rouss,0,,,5,3,1,1,0,1,"off-piste (ski, snowboard)",14,2018,3
2018-03-04,15:10,grandes rousses,alps,Gdes-rouss,0,,,6,1,1,1,0,0,hiking,15,2018,3
2018-03-13,09:20,grandes rousses,alps,Gdes-rouss,3300,35-39,S,2,2,0,0,0,2,other,9,2018,3
